name,price,rating,url
Salted Caramel Chocolate Puddles,8.450000000000001,95,https://hotelchocolat.com/uk/salted-caramel-puddles.html
Trillionaire Shortbread Selector,5.8500000000000005,73,https://hotelchocolat.com/uk/trillionaire-shortbread-chocolates.html
Dunking Biscuits,10.4,89,https://hotelchocolat.com/uk/dunking-biscuit-selection-box.html
The Mellow Baton Library,27.3,94,https://hotelchocolat.com/uk/the-baton-library.html
Florentine Isabelle Selector,5.8500000000000005,89,https://hotelchocolat.com/uk/chocolate-florentines.html
40% Milk Chocolate Batons,9.75,94,https://hotelchocolat.com/uk/40pc-milk-batons.html
All Dark Collection,38.35,0,https://hotelchocolat.com/uk/the-all-dark-collection.html
Velvetised Chocolate Cream,29.900000000000002,93,https://hotelchocolat.com/uk/chocolate-cream-liqueur.html
Chocolate Macarons,11.700000000000001,83,https://hotelchocolat.com/uk/chocolate-macarons.html
Pink Champagne Truffle Tin,13.0,92,https://hotelchocolat.com/uk/pink-tin.html
Tipples & Treats: Cacao Gin & Macarons Collection,35.1,0,https://hotelchocolat.com/uk/gin-macarons-gift.html
Salted Caramel Vodka Liqueur,33.800000000000004,97,https://hotelchocolat.com/uk/salted-caramel-cocoa-vodka-large.html
Champagne Chocolate Truffles Selector,5.8500000000000005,93,https://hotelchocolat.com/uk/champagne-truffle.html
Pink Champagne Chocolate Truffles Selector,5.8500000000000005,95,https://hotelchocolat.com/uk/pink-champagne-truffle.html
Dark 85% Hot Chocolate Pouches,20.8,0,https://hotelchocolat.com/uk/dark-85-hot-chocolate-bag-large.html
A Dozen Chocolate Dapper Dogs,11.05,95,https://hotelchocolat.com/uk/dozen-solid-milk-chocolate-dapper-dogs.html
Caramel Cheesecake Macarons,11.700000000000001,89,https://hotelchocolat.com/uk/caramel-cheesecake-macarons.html
Serious Dark Fix H-box,19.435,96,https://hotelchocolat.com/uk/dark-chocolate-box.html
7 Chocolat Shortbreads | Biscuits of the Gods,13.0,85,https://hotelchocolat.com/uk/shortbread-biscuit-tin.html
Dark 85% Hot Chocolate,11.05,94,https://hotelchocolat.com/uk/dark-85-hot-chocolate-bag.html
Cherry Deluxe Selector,5.8500000000000005,94,https://hotelchocolat.com/uk/cherry-deluxe-selector.html
Pink & Classic Champagne Truffles Tin ,26.0,93,https://hotelchocolat.com/uk/pink-classic-champagne-truffles.html
Raspberry Pannacotta Selector,5.8500000000000005,94,https://hotelchocolat.com/uk/raspberry-pannacotta.html
100% Dark Hot Chocolate Sachets,17.55,81,https://hotelchocolat.com/uk/shop/collections/products/hot-chocolate/hot-chocolate-100pc-pack.html
Chocolate Fudge Sundae Selector,5.8500000000000005,92,https://hotelchocolat.com/uk/chocolate-fudge-sundae.html
Salted Caramel Velvetised Chocolate Cream 500ml,29.900000000000002,97,https://hotelchocolat.com/uk/salted-caramel-cream-liqueur.html
Dark Chocolate Brazil Nuts,8.450000000000001,95,https://hotelchocolat.com/uk/dark-chocolate-brazil-nuts.html
Cashew Nuts Chocolate Selector,5.8500000000000005,96,https://hotelchocolat.com/uk/cashew-nuts.html
Chocolate Gemstones,8.450000000000001,93,https://hotelchocolat.com/uk/classic-gemstones.html
70% Dark Chocolate Batons,9.75,95,https://hotelchocolat.com/uk/70-dark-batons.html
Rum Soaked Sultanas,13.0,93,https://hotelchocolat.com/uk/chocolate-sultanas.html
Summer Desserts Sleekster,32.435,84,https://hotelchocolat.com/uk/summer-desserts-chocolate-sleekster.html
Raspberry Smoothie Chocolates Selector,5.8500000000000005,94,https://hotelchocolat.com/uk/raspberry-smoothie-chocolate.html
75cl Classic Prosecco,23.400000000000002,89,https://hotelchocolat.com/uk/classic-prosecco.html
Duo of Podcups,26.0,65,https://hotelchocolat.com/uk/pod-cups-duo.html
100% Dark Hot Chocolate Pouch 250g ,11.05,90,https://hotelchocolat.com/uk/dark-100-hot-chocolate-bag.html
Pistachio Chocolate Selector,5.8500000000000005,87,https://hotelchocolat.com/uk/pistachio-chocolates.html
Milk Chocolate Collection Selector,5.8500000000000005,96,https://hotelchocolat.com/uk/milk-chocolate-collection-selector.html
Praline Chocolate Selector,5.8500000000000005,95,https://hotelchocolat.com/uk/dizzy-pralines.html
Lemon Chocolate Cheesecake Selector,5.8500000000000005,95,https://hotelchocolat.com/uk/lemon-cheesecake-chocolate.html
Rose & Violet Cremes Selector,5.8500000000000005,91,https://hotelchocolat.com/uk/rose-violet-cremes.html
